cod_ibge,enrolment_pvt_ef1_2012,enrolment_pvt_2012,enrolment_mun_ef1_2012,enrolment_total_ef1_2012,ratio_enrolment_pvt_mun_2012,share_enrolment_pvt_2012,share_enrolment_mun_2012
510615,6.0,10.0,1402.0,1992.0,0.0042796005706134095,0.0030120481927710845,0.7038152610441767
510617,0.0,0.0,669.0,669.0,0.0,0.0,1.0
510618,0.0,0.0,925.0,935.0,0.0,0.0,0.9893048128342246
510619,0.0,0.0,485.0,623.0,0.0,0.0,0.7784911717495987
510620,0.0,0.0,195.0,794.0,0.0,0.0,0.2455919395465995
510621,2.0,43.0,1504.0,1980.0,0.0013297872340425532,0.00101010101010101,0.7595959595959596
510622,609.0,1074.0,2603.0,5142.0,0.2339608144448713,0.11843640606767794,0.5062232594321275
510623,31.0,52.0,1994.0,3078.0,0.015546639919759278,0.010071474983755685,0.6478232618583496
510624,0.0,0.0,1568.0,1764.0,0.0,0.0,0.8888888888888888
510625,337.0,534.0,1101.0,2741.0,0.3060853769300636,0.12294782925939438,0.40167821962787303
510626,0.0,0.0,851.0,1164.0,0.0,0.0,0.7310996563573883
510627,0.0,0.0,230.0,513.0,0.0,0.0,0.44834307992202727
510628,0.0,0.0,636.0,1004.0,0.0,0.0,0.6334661354581673
510629,0.0,19.0,1328.0,1767.0,0.0,0.0,0.7515563101301641
510630,113.0,217.0,1615.0,3273.0,0.06996904024767801,0.03452490070271922,0.4934311029636419
510631,0.0,0.0,332.0,332.0,0.0,0.0,1.0
510637,8.0,54.0,1359.0,2470.0,0.005886681383370125,0.0032388663967611335,0.5502024291497976
510642,232.0,311.0,3005.0,5156.0,0.07720465890183029,0.04499612102404965,0.5828161365399535
510645,0.0,0.0,308.0,476.0,0.0,0.0,0.6470588235294118
510650,439.0,699.0,1371.0,5309.0,0.3202042304886944,0.08268977208513845,0.2582407233000565
510665,0.0,192.0,426.0,690.0,0.0,0.0,0.6173913043478261
510670,0.0,0.0,135.0,264.0,0.0,0.0,0.5113636363636364
510675,610.0,870.0,1863.0,6592.0,0.32742887815351585,0.09253640776699029,0.2826152912621359
510677,0.0,0.0,516.0,1546.0,0.0,0.0,0.33376455368693403
